id,budget,revenue,popularity,vote_average,release_year,director
238751,0,1700000,0.517447,5.8,1989,Robert Radler
9972,24000000,0,0.5108,6.1,1989,John Flynn
8867,0,0,0.509751,5.2,1989,Mark Goldblatt
11718,0,0,0.503146,5.6,1989,Paul Flaherty
10283,5000000,14000000,0.498792,4.7,1989,Rob Hedden
11352,31000000,74134790,0.494235,5.8,1989,Steven Spielberg
11895,0,11567217,0.4907,4.8,1989,Peter Bonerz
10344,0,38903179,0.486713,4.9,1989,Chris Walas
24739,3000000,1145404,0.481276,6.9,1989,Steve De Jarnatt
6951,0,71079915,0.480969,5.9,1989,Roger Spottiswoode
7452,0,0,0.480761,6.9,1989,Peter Greenaway
14550,0,0,0.475745,5.7,1989,Howard Zieff
11497,13800000,27100027,0.4669,6.3,1989,Don Bluth
19124,0,2345628,0.464675,5.8,1989,Phillip Noyce
9085,30000000,60864870,0.452278,5.9,1989,Eddie Murphy
12150,19000000,110879513,0.448357,6.7,1989,Harold Becker
15433,0,0,0.440959,6.8,1989,Brian Cosgrove
10493,10000000,7825000,0.438179,6.3,1989,Phillip Noyce
11342,7000000,0,0.437909,5.7,1989,Steve Miner
505,0,7237794,0.434831,5.8,1989,Walter Hill
12521,5000000,16554699,0.423064,5.9,1989,Wes Craven
14776,0,0,0.414316,5.7,1989,Bruce Robinson
403,7500000,145793296,0.409695,6.9,1989,Bruce Beresford
86962,0,0,0.396198,5.5,1989,Dwight H. Little
11562,19000000,18254702,0.415913,6.9,1989,Woody Allen
4105,30000000,45892212,0.382943,6.0,1989,Ridley Scott
28165,0,0,0.378753,5.2,1989,Michael Herz
22611,0,0,0.365129,6.8,1989,Masami Hata
9686,15000000,0,0.363923,5.8,1989,Woody Allen
5203,7000000,0,0.360056,4.4,1989,Zalman King
19236,787000,0,0.355479,5.5,1989,Alejandro Jodorowsky
10875,13000000,0,0.352631,6.5,1989,Steve Kloves
10860,0,95904091,0.341085,6.9,1989,Herbert Ross
10161,645180,14743391,0.337545,7.3,1989,Jim Sheridan
11607,0,8143225,0.334867,5.2,1989,Sean S. Cunningham
25199,0,27843,0.194983,5.4,1989,Dorian Walker
17819,0,0,0.135514,5.1,1989,Bruce Beresford
13928,0,0,0.471351,7.1,1989,John Lasseter
3064,0,0,0.324248,6.7,1989,Emile Ardolino
28169,0,0,0.290811,4.8,1989,Michael Herz
925,6500000,37295445,0.307623,7.5,1989,Spike Lee
26953,0,0,0.306631,5.6,1989,David Schmoeller
10705,9000000,0,0.294611,7.4,1989,Kenneth Branagh
1779,0,0,0.292579,7.1,1989,Michael Moore
21512,0,882290,0.290697,6.1,1989,David Webb Peoples
31606,0,0,0.360554,4.8,1989,Andrew Davis
17362,0,3960327,0.283101,6.5,1989,Joan Micklin Silver
11305,2800000,0,0.280711,6.5,1989,Jim Jarmusch
19142,0,192816,0.277427,4.8,1989,Jim Wynorski
11937,0,0,0.271166,6.9,1989,Jamie Uys
11361,5000000,11642254,0.26954,5.2,1989,Dominique Othenin-Girard
2028,0,20036737,0.269455,6.7,1989,Cameron Crowe
15142,0,0,0.126762,5.5,1989,Marc Rocco
27418,12000000,15942628,0.2578,5.0,1989,John Irvin
8216,750000,0,0.257575,6.2,1989,Peter Jackson
11475,0,0,0.403984,6.3,1989,Aki Kaurism?ki
15618,0,0,0.255597,4.6,1989,Stuart Gordon
39787,0,0,0.254599,6.0,1989,David Hugh Jones
22102,0,0,0.254386,5.9,1989,Jeff Kanew
4296,0,0,0.252664,5.0,1989,Michael Anderson
2323,0,84431625,0.244298,6.8,1989,Phil Alden Robinson
11828,0,0,0.240849,5.8,1989,Terry Jones
10135,15000000,30050028,0.240681,6.3,1989,Rowdy Herrington
14628,8045760,35150960,0.233923,5.9,1989,Michael Ritchie
29185,0,20047604,0.231985,7.0,1989,Peter Yates
2263,0,0,0.228584,7.0,1989,Costa-Gavras
31004,0,4557214,0.225799,5.4,1989,Carl Schenkel
16182,0,0,0.217076,6.6,1989,Herbert Wise
1380,0,2777280,0.209028,5.7,1989,Graeme Clifford
47045,0,12065892,0.202345,5.3,1989,Stan Dragoti
31608,15000000,40590000,0.19766,6.5,1989,Francis Veber
34312,0,0,0.191435,5.3,1989,Michael A. Simpson
18111,2000000,0,0.19025,5.8,1989,Brian Yuzna
37606,33000000,1132112,0.188629,6.6,1989,Milo? Forman
476,2500000,4729352,0.181067,6.8,1989,Gus Van Sant
183,6000000,14278900,0.178696,6.5,1989,Todd Holland
26360,0,0,0.260602,8.4,1989,D.A. Pennebaker
19157,0,0,0.153473,2.3,1989,Valerie Breiman
24077,0,0,0.148809,5.4,1989,Mel Smith
32261,0,8800000,0.14877,5.9,1989,Michael Caton-Jones
11465,0,0,0.147843,5.6,1989,Jim McBride
38695,0,0,0.147825,6.4,1989,Patrice Leconte
11959,5000000,0,0.137632,6.7,1989,Jay Levey
14621,0,0,0.142879,6.8,1989,John G. Avildsen
17190,0,0,0.13469,6.1,1989,Thom Eberhardt
20006,0,0,0.133281,5.4,1989,Buddy Van Horn
300589,0,0,0.123132,7.4,1989,Simon Wincer
31583,4000000,0,0.119555,5.9,1989,John Dahl
22244,0,0,0.208511,5.7,1989,Brian Yuzna
15138,7000000,793775,0.114027,5.7,1989,Richard Greenberg
32059,0,0,0.109913,5.1,1989,Pat O'Connor
19118,0,0,0.106834,7.1,1989,Joe Pytka
38084,0,1738897,0.103379,4.0,1989,James Isaac
141859,0,0,0.094652,5.3,1989,Don Boyd
20607,0,0,0.073704,6.5,1989,Jos¨¦ Luis Cuerda
11157,0,0,0.07072,6.4,1989,Susan Seidelman
10551,0,12195695,0.070162,5.4,1989,Sidney Lumet
31150,130000,0,0.065997,5.8,1989,Scott Spiegel
52106,0,0,0.010016,6.0,1989,Neri Parenti
28774,0,1919653,0.048723,4.9,1989,Philippe Mora
30666,0,1519796,0.046709,5.6,1989,Jeff Burr
20423,0,0,0.163885,8.2,1989,Al Reinert
10020,25000000,377350553,3.852269,7.3,1991,Gary Trousdale
280,100000000,520000000,3.584406,7.5,1991,James Cameron
879,70000000,300854823,2.326917,6.5,1991,Steven Spielberg
8367,48000000,390493908,1.606765,6.5,1991,Kevin Reynolds
8010,30000000,15556340,1.301458,4.8,1991,Russell Mulcahy
1598,35000000,182300000,1.287839,6.9,1991,Martin Scorsese
174,27000000,96900000,1.28293,6.6,1991,Nicholas Meyer
37137,23000000,86930411,1.259634,6.5,1991,David Zucker
1089,24000000,83531958,1.231168,6.7,1991,Kathryn Bigelow
1649,0,0,1.222105,5.9,1991,Peter Hewitt
2924,75000000,152368585,1.020069,6.2,1991,Ron Howard
2907,30000000,191502426,0.983036,6.6,1991,Barry Sonnenfeld
9292,65000000,17218080,0.977243,5.6,1991,Michael Lehmann
10249,42000000,62000000,0.963521,6.3,1991,Joe Johnston
1541,16000000,45361000,0.915804,7.0,1991,Ridley Scott
10537,38000000,34416893,0.816448,6.5,1991,Oliver Stone
1497,25000000,78,0.799449,6.0,1991,Michael Pressman
11933,40000000,8479793,0.764796,5.3,1991,Dan Aykroyd
10380,0,0,0.698097,6.2,1991,Phil Nibbelink
274,19000000,272742922,0.695385,7.9,1991,Jonathan Demme
290,9000000,6153939,0.693523,7.0,1991,Joel Coen
4032,16500000,0,0.691822,6.9,1991,Howard Zieff
9079,0,0,0.690154,5.8,1991,Joel Schumacher
11284,11000000,34872033,0.689242,5.4,1991,Rachel Talalay
468,2500000,0,0.68759,7.1,1991,Gus Van Sant
9319,29000000,59509925,0.662297,6.4,1991,Tony Scott
820,40000000,205405498,0.658866,7.2,1991,Oliver Stone
650,6500000,57504069,0.649755,7.3,1991,John Singleton
