id,budget,revenue,popularity,vote_average,release_year,if_novels
10204,110000000,72178895,0.521121,5.6,2004,Not base on novel
21301,18000000,65070412,0.520891,5.7,2004,Not base on novel
10046,53000000,0,0.518765,4.8,2004,Not base on novel
11137,0,0,0.509946,5.8,2004,Not base on novel
10870,0,0,0.508061,4.0,2004,Not base on novel
12450,0,0,0.506575,5.0,2004,Not base on novel
29979,0,371396,0.504607,5.6,2004,Not base on novel
7092,0,0,0.504166,5.9,2004,Not base on novel
10145,42000000,117575636,0.49851,5.4,2004,Not base on novel
15566,45000000,14793624,0.494197,5.0,2004,Not base on novel
7548,0,0,0.482163,5.7,2004,Not base on novel
15775,0,0,0.478125,6.3,2004,Not base on novel
1901,0,0,0.475589,5.8,2004,Not base on novel
11109,11000000,0,0.459724,6.1,2004,Not base on novel
14207,0,0,0.455625,5.9,2004,Not base on novel
11866,45000000,21009180,0.439848,5.4,2004,Not base on novel
6478,23000000,0,0.43894,6.2,2004,Not base on novel
11058,25000000,30114487,0.433748,4.7,2004,Not base on novel
13416,30000000,61255921,0.429157,7.2,2004,Base on novel
5516,0,0,0.428843,5.8,2004,Not base on novel
9688,0,20085825,0.425665,5.8,2004,Not base on novel
4599,50000000,49718611,0.424376,5.9,2004,Not base on novel
11162,0,0,0.424196,6.3,2004,Not base on novel
15184,0,0,0.424036,5.9,2004,Not base on novel
15644,20000000,16605763,0.41942,5.9,2004,Not base on novel
34843,0,0,0.40923,6.5,2004,Not base on novel
11141,0,0,0.408507,5.6,2004,Not base on novel
14024,15000000,14867514,0.405459,5.9,2004,Not base on novel
11188,23000000,0,0.3994,6.2,2004,Not base on novel
11632,23000000,16123851,0.383044,5.5,2004,Not base on novel
11184,0,0,0.373497,6.3,2004,Not base on novel
1997,74500000,62172050,0.372046,6.8,2004,Not base on novel
842,0,3537961,0.368883,6.1,2004,Not base on novel
5460,0,0,0.376049,4.3,2004,Not base on novel
1126,0,0,0.354348,7.1,2004,Not base on novel
10742,0,12520799,0.348086,5.6,2004,Not base on novel
10718,40000000,46546197,0.344278,4.8,2004,Not base on novel
14292,28000000,64445708,0.751446,6.8,2004,Not base on novel
16617,27000000,21148829,0.333555,6.3,2004,Not base on novel
9636,6800000,0,0.475295,6.1,2004,Not base on novel
11171,0,1524966,0.331378,7.1,2004,Not base on novel
10609,0,0,0.33003,6.7,2004,Not base on novel
13932,0,0,0.329563,7.3,2004,Not base on novel
12657,16000000,14822346,0.322152,4.8,2004,Not base on novel
24653,0,0,0.316254,7.3,2004,Not base on novel
17209,0,0,0.315115,5.8,2004,Not base on novel
11217,8500000,5001655,0.313479,5.1,2004,Not base on novel
9830,0,0,0.311914,4.5,2004,Not base on novel
14844,23000000,12,0.420568,6.2,2004,Not base on novel
8080,27000000,13000000,0.308525,5.1,2004,Not base on novel
12634,50000000,6808550,0.302104,4.9,2004,Base on novel
8981,0,0,0.24591,6.0,2004,Not base on novel
10710,40000000,0,0.287114,4.9,2004,Not base on novel
26579,74050,176153,0.286541,5.6,2004,Not base on novel
16232,30000000,21800302,0.286442,5.1,2004,Not base on novel
15673,20000000,11341016,0.283606,6.8,2004,Not base on novel
16428,0,0,0.283493,6.1,2004,Not base on novel
11099,0,548039,0.282879,5.4,2004,Not base on novel
11169,19250000,8112712,0.280074,6.2,2004,Not base on novel
17047,26000000,28818995,0.275919,5.3,2004,Not base on novel
33641,0,0,0.267871,3.9,2004,Not base on novel
12483,5000000,0,0.266804,4.2,2004,Not base on novel
9372,65000,28575078,0.263897,6.5,2004,Not base on novel
18923,6500000,1548955,0.369726,6.4,2004,Base on novel
14846,35000000,22034832,0.252151,5.2,2004,Not base on novel
8842,39000000,6614280,0.250878,4.8,2004,Not base on novel
14681,50000,0,0.245917,5.7,2004,Not base on novel
9953,0,1841260,0.244611,6.7,2004,Not base on novel
11413,0,0,0.23959,5.7,2004,Not base on novel
9965,0,0,0.484325,5.6,2004,Not base on novel
13702,15000000,1914166,0.225831,5.5,2004,Not base on novel
10296,0,0,0.217497,6.9,2004,Not base on novel
11128,60000000,74541707,0.216459,6.0,2004,Not base on novel
18165,0,0,0.209896,5.6,2004,Not base on novel
34560,0,0,0.209846,5.4,2004,Not base on novel
8357,0,10000000,0.203253,5.9,2004,Not base on novel
10927,0,0,0.201053,5.2,2004,Not base on novel
11052,0,29170410,0.19252,5.5,2004,Not base on novel
26,1400000,0,0.192215,6.4,2004,Not base on novel
20483,18000000,16702864,0.274886,5.2,2004,Not base on novel
15483,2600000,1479042,0.137751,4.9,2004,Not base on novel
2791,0,0,0.186459,5.7,2004,Not base on novel
9692,0,4678405,0.18495,6.4,2004,Not base on novel
21776,0,0,0.183345,6.4,2004,Not base on novel
19592,1500000,0,0.18156,5.8,2004,Not base on novel
13905,90,0,0.16812,6.8,2004,Not base on novel
1944,0,0,0.226049,5.6,2004,Not base on novel
14198,0,0,0.166159,6.4,2004,Not base on novel
16764,0,0,0.164872,5.1,2004,Not base on novel
31117,0,9109322,0.157959,2.1,2004,Not base on novel
15058,1000000,0,0.154834,6.7,2004,Not base on novel
12281,500000,603943,0.154421,7.3,2004,Not base on novel
1404,0,0,0.148092,6.1,2004,Not base on novel
23601,3000000,2037545,0.145065,6.4,2004,Not base on novel
12877,0,0,0.144917,7.3,2004,Not base on novel
3057,0,0,0.330795,5.8,2004,Not base on novel
15237,20000000,0,0.139783,6.1,2004,Not base on novel
10838,0,0,0.209701,2.3,2004,Not base on novel
17871,0,0,0.129785,6.6,2004,Not base on novel
24747,0,0,0.0533,5.9,2004,Not base on novel
8555,0,0,0.126695,5.6,2004,Not base on novel
12703,10000000,0,0.125361,5.5,2004,Not base on novel
44345,0,0,0.119945,7.4,2004,Not base on novel
16358,0,0,0.11766,5.9,2004,Not base on novel
20544,0,0,0.092713,6.8,2004,Not base on novel
9976,0,0,0.088875,5.2,2004,Not base on novel
20200,823258,823258,0.082116,5.8,2004,Not base on novel
14463,0,0,0.075496,7.5,2004,Not base on novel
11588,8800000,0,0.04548,5.8,2004,Not base on novel
25248,0,0,0.042066,6.3,2004,Not base on novel
12540,0,0,0.022891,5.1,2004,Not base on novel
238,6000000,245066411,5.738034,8.3,1972,Not base on novel
10669,2000000,46122355,0.949381,7.0,1972,Not base on novel
1688,1800000,9700000,0.881814,6.1,1972,Not base on novel
10784,6000000,0,0.669045,6.9,1972,Not base on novel
573,3500000,12600000,0.599109,6.9,1972,Not base on novel
14881,0,6330000,0.476664,6.2,1972,Not base on novel
811,1000000,0,0.450264,6.1,1972,Not base on novel
24559,3200000,0,0.432033,6.0,1972,Not base on novel
692,12000,6000000,0.412913,6.3,1972,Not base on novel
11624,2000000,18016290,0.400301,6.5,1972,Not base on novel
32613,300000,0,0.384557,6.6,1972,Not base on novel
15516,90000,0,0.384193,6.1,1972,Not base on novel
6949,0,0,0.52835,7.3,1972,Not base on novel
11943,0,0,0.36795,7.0,1972,Not base on novel
26119,0,0,0.338541,6.6,1972,Not base on novel
551,5000000,84563118,0.321141,7.7,1972,Not base on novel
19403,0,0,0.291807,6.5,1972,Not base on novel
993,0,0,0.269252,7.1,1972,Not base on novel
15573,0,7500000,0.265891,6.6,1972,Not base on novel
5916,3352254,58831997,0.260584,7.2,1972,Not base on novel
24236,0,0,0.234241,7.6,1972,Not base on novel
38939,0,0,0.248258,8.0,1972,Not base on novel
11610,0,0,0.170549,7.2,1972,Not base on novel
22784,600000,0,0.230608,5.8,1972,Not base on novel
12530,0,0,0.513571,6.5,1972,Not base on novel
12593,850000,0,0.198304,6.3,1972,Not base on novel
21711,0,0,0.186995,6.7,1972,Not base on novel
23847,0,0,0.236771,5.9,1972,Not base on novel
33638,0,0,0.130781,6.0,1972,Not base on novel
35280,0,0,0.095011,5.3,1972,Not base on novel
25993,0,0,0.200809,5.7,1972,Not base on novel
30566,500000,0,0.091922,6.1,1972,Not base on novel
24571,0,0,0.069248,5.8,1972,Not base on novel
38761,0,0,0.058828,5.7,1972,Not base on novel
18250,75000,0,0.037191,6.2,1972,Not base on novel
16993,0,0,0.024345,5.9,1972,Not base on novel
1891,18000000,538400000,5.488441,8.0,1980,Not base on novel
694,19000000,44017374,2.432001,7.9,1980,Not base on novel
813,3500000,83453539,1.636256,7.0,1980,Not base on novel
525,27000000,115229890,1.607219,7.3,1980,Not base on novel
5689,4500000,58853106,1.392663,5.8,1980,Not base on novel
1578,18000000,23000000,1.328578,7.4,1980,Not base on novel
8536,54000000,108185706,1.285924,6.3,1980,Not base on novel
4488,550000,59754601,1.24642,6.4,1980,Not base on novel
3537,0,21202829,1.06566,5.8,1980,Not base on novel
3604,35000000,27107960,0.915548,5.8,1980,Not base on novel
1955,5000000,26010864,0.814857,7.6,1980,Not base on novel
13612,0,41675194,0.764524,6.3,1980,Not base on novel
12705,0,66132626,0.76363,5.0,1980,Not base on novel
10765,0,0,0.707582,6.2,1980,Not base on novel
8393,0,0,0.681446,7.2,1980,Not base on novel
790,1000000,21378361,0.659182,6.2,1980,Not base on novel
38602,0,0,0.646441,6.5,1980,Not base on novel
11977,6000000,39846344,0.64229,6.5,1980,Not base on novel
11033,6500000,31899000,0.590127,6.7,1980,Not base on novel
14475,8000000,11715321,0.580748,5.8,1980,Not base on novel
16395,3000000,0,0.521927,6.2,1980,Not base on novel
21629,0,101300000,0.427457,6.7,1980,Not base on novel
21866,0,0,0.422847,4.9,1980,Not base on novel
10935,44000000,3484331,0.41895,6.0,1980,Not base on novel
40969,3500000,0,0.416288,5.4,1980,Not base on novel
8738,0,16647800,0.413142,5.7,1980,Not base on novel
37997,0,0,0.404642,6.2,1980,Not base on novel
16633,5100000,0,0.545843,6.5,1980,Not base on novel
11335,20000000,0,0.202265,5.4,1980,Not base on novel
12129,0,0,0.39019,5.9,1980,Not base on novel
17169,0,70687344,0.450726,5.9,1980,Not base on novel
14807,0,0,0.3748,7.1,1980,Not base on novel
20681,0,0,0.359586,5.0,1980,Not base on novel
11542,15000000,19853892,0.341183,6.0,1980,Base on novel
17496,0,0,0.319636,6.5,1980,Not base on novel
37835,0,0,0.314225,5.8,1980,Not base on novel
6028,0,11000000,0.299527,5.9,1980,Not base on novel
16121,0,7206220,0.28902,6.4,1980,Not base on novel
2768,4800000,22743674,0.283507,5.8,1980,Not base on novel
27958,0,0,0.266091,5.7,1980,Not base on novel
33518,1500000,0,0.26295,5.1,1980,Not base on novel
19494,0,0,0.257935,6.4,1980,Not base on novel
23954,7200000,12729678,0.248142,6.6,1980,Not base on novel
16619,6000000,0,0.225188,6.8,1980,Not base on novel
11337,10000000,10389003,0.247924,6.3,1980,Not base on novel
5917,0,0,0.210879,5.2,1980,Not base on novel
21873,0,22482952,0.210665,5.9,1980,Not base on novel
33214,0,0,0.205099,5.8,1980,Not base on novel
19761,0,0,0.323615,4.9,1980,Not base on novel
15119,0,0,0.201964,6.8,1980,Not base on novel
36599,1000000,14796236,0.192608,6.4,1980,Not base on novel
13783,0,0,0.176667,5.9,1980,Not base on novel
1623,0,37121708,0.156245,6.9,1980,Not base on novel
